,,Question about the audience for the text: who will the first DP Creator installation be for/open to? Only Harvard Dataverse uses? Who if not? Will installations in the future be able to change the text on the home page to suit their installation?,
Page,Section,Text,Older Text
home,notice if not from a Dataverse,"To create a DP Release, please make a request from a registered Dataverse installation.","To create a DP Release, please make a request from a registered Dataverse installation."
home,stepsTitle,Introduce noise into your statistics to protect privacy,Introduce noise into your statistics to protect privacy
home,stepsDescription,"DP Creator allows researchers to create high utility statistics using differential privacy (DP). Through a carefully calibrated process, the application of DP introduces random noise to a data file in order to keep an individual's information protected. The resulting DP statistics are usable by researchers while masking the contribution of any single individual--making it impossible to infer any information specific to an individual.",DP Creator allows researchers to easily <strong>introduce noise into variables</strong> masking specific details to <strong>keep private data private</strong>.
home,step1 title,Review requirements,Review requirements
home,step1 text,"Make sure your data is ready and appropriate to be processed with DP Creator by checking the Tips for Use below, then create your account to get started.","Make sure your data is ready and appropriate to be processed with DP Creator by checking the Tips for Use, then create your account to get started."
home,step2 title,Connect a dataset,Connect a dataset
home,step2 text,"DP Creator works with a temporary copy of a dataset file you send from a registered Dataverse data repository. This allows you to create differentially private summary statistics from variables you choose.",DP Creator works with a temporary copy of the first 20 variables of a file you send from a registered Dataverse data repository to create differentially private summary statistics from the variables you choose.
home,step3 title,Work on a release,Work on release
home,step3 text,"DP Creator guides you through several steps: Confirm Variables, Sampling Frame, Create Statistics, and Generate DP Release. You can save along the way, and have 72 hours to complete the release.","You can work with your data in 4 steps: Confirm variables, Set epsilon value, Create statistics, Generate DP Release. You'll see more information about the steps during the process. <strong>You have 72 hours to finish your release or the data will be deleted from the tool.</strong>"
home,step4 title,Review and submit,Check the release
home,step4 text,"After processing, review the DP Release in DP Creator. If you choose, DP Creator will deposit the DP release back in the referring Dataverse repository dataset for sharing and publication.","After processing, review the release in DP Creator. When you're ready, submit the release to the referring Dataverse repository dataset for sharing and publication."
home,service section title,Tips for Use,Tips for Use
home,service1 title,Who should use this tool and why?,Who should use this tool and why?
home,service1 text,"<p>If you have deposited restricted data files in a registered Dataverse repository, DP Creator allows you to create differentially private statistics. While your data files remain restricted, the differentially private statistics are available to anyone. You should not use DP Creator if sharing the data could cause severe harm.</p>
<p>For more information on data security levels, please <a href=""mailto:info@opendp.org"" >contact us</a>.</p>","<p>If you have deposited restricted datasets in a registerd Dataverse repository, DP Creator allows you to create differentially private statistics. While your datasets remain restricted, the differentially private statistics are open to anyone. You should not use DP Creator if sharing the data could cause severe harm.</p>
"
home,service2 title,What statistics can be released using this tool?,What statistics can be released using this tool?
home,service2 text,"<p>DP Creator generates statistics using the <a href=""https://github.com/opendp/opendp"" target=""_blank"">OpenDP Library</a>. (Note: Currently, DP Creator allows you to work with the first 20 variables in your data file.) You may create differentially private versions of Count, Sum, Mean, Variance, and Histogram. We plan to add more statistics regularly.</p>","Lorem ipsum dolor sit amet consectetur adipisicing elit. Animi iusto in, voluptas quia fugiat soluta labore consectetur harum repellendus accusamus quisquam quasi velit vero totam, optio assumenda atque obcaecati eum!"
home,service3 title,How does it work?,What type of files are appropriate?
home,service3 text,"[This section needs input] Types of files... First 20 variables... Gaussian, Laplace, and Geometric algorithms applied to common statistics...
epsilon and delta...variables you select will be released with noise for privacy protection. Link to find out more","Lorem ipsum dolor sit amet consectetur adipisicing elit. Animi iusto in, voluptas quia fugiat soluta labore consectetur harum repellendus accusamus quisquam quasi velit vero totam, optio assumenda atque obcaecati eum!"
home,service4 title,What can be done with the DP Release?,What can be done with the DP Release?
home,service4 text,"<p>A differentially private (DP) Release includes the statistic or statistics that you have requested. The DP Release consists of two files:</p>
<ul>
<li>PDF report for easy reading</li>
<li>A machine readable JSON file</li>
<p>Both files include the resulting statistics and how they were calculated.</p>","Lorem ipsum dolor sit amet consectetur adipisicing elit. Animi iusto in, voluptas quia fugiat soluta labore consectetur harum repellendus accusamus quisquam quasi velit vero totam, optio assumenda atque obcaecati eum!"
home,service5 title,What features are coming in future versions of DP Creator?,""
home,service5 text,"Features we are working on include incorporating new algorithms from the OpenDP library, multivariate statistics, and interactive queries by analysts. Please see the <a href='https://opendp.org/roadmap' target='_blank'>OpenDP RoadMap</a> for more details.",""
home,checkbox,I have read the tips for use,
home,footer title,This is a sentence about Open DP,This is a sentence <br/> about Open DP
home,footer text,"OpenDP is a community effort to build trustworthy, open-source software tools for the statistical analysis of sensitive private data. These tools offer the rigorous protections of differential privacy for the individuals who may be represented in confidential data and statistically valid methods of analysis for researchers who study the data.","Lorem ipsum dolor sit amet consectetur adipisicing elit. Animi iusto in, voluptas quia fugiat soluta labore consectetur harum repellendus accusamus quisquam quasi velit vero totam, optio assumenda atque obcaecati eum!"
terms of use,TOU text,"(add a link to the most recent terms of use doc, or copy it here)"
new account,TOU Creating DP,"(add a link to the most recent terms of use doc, or copy it here)"
new account,TOU Dataverse,"<p>Lorem ipsum dolor sit amet consectetur adipisicing elit. "
