X,state,puma,sex,age,educ,income,latino,black,asian,married
833320,6,64900,0,45,6,6000,0,0,0,1
875563,6,66117,1,41,8,13000,1,0,0,1
431101,6,62802,0,63,14,17810,0,0,0,1
941157,6,66123,1,71,15,3600,0,0,1,1
35464,6,60600,0,44,5,10000,0,0,0,0
451867,6,63301,1,49,1,0,0,0,1,0
15788,6,60300,0,37,11,30530,1,0,0,1
1022897,6,66900,0,46,11,55000,0,0,0,0
215569,6,62602,1,44,9,10,0,0,0,1
470859,6,63402,1,78,11,18600,0,0,0,0
469588,6,63401,0,35,9,3900,1,0,0,1
830487,6,64900,0,43,9,0,0,0,0,1
882947,6,66118,0,44,2,63000,1,0,0,1
1223852,6,68116,0,55,1,0,1,0,0,1
592797,6,66702,0,51,11,25060,0,0,0,0
479254,6,63501,1,27,1,0,1,0,0,0
597510,6,66200,1,64,10,18600,0,0,0,0
1067904,6,67700,0,45,3,19000,1,0,0,1
393752,6,62706,0,22,10,7000,1,0,0,0
543705,6,64406,1,67,9,4000,0,0,0,0
713984,6,65416,0,30,8,4300,1,0,0,1
1040619,6,67606,0,43,10,0,0,0,0,1
1116687,6,68005,0,25,13,4500,0,0,0,0
416565,6,62711,1,45,13,42000,0,0,1,0
413475,6,62710,1,42,13,86000,0,0,0,1
1208209,6,68114,1,39,9,21000,1,0,0,1
607878,6,66400,0,37,9,95000,0,0,0,1
813938,6,66102,0,50,13,50000,0,0,0,0
777840,6,65200,0,21,10,13500,1,0,0,0
44602,6,60700,1,74,11,0,0,0,0,1
1220713,6,68116,0,21,9,23000,0,0,0,1
433022,6,62802,0,22,9,13000,1,0,0,1
760393,6,64500,0,56,9,74000,0,0,0,0
564323,6,63902,0,61,10,6100,0,0,0,1
566867,6,63902,0,51,11,10500,0,0,0,0
521263,6,64300,1,44,13,37000,0,1,0,0
422150,6,62712,0,18,9,19500,0,0,0,1
199903,6,62002,1,70,9,45800,0,0,0,0
656551,6,65407,0,53,7,43200,1,0,0,1
210818,6,62601,0,64,10,28900,0,0,0,1
622191,6,66602,0,72,13,90600,0,0,0,0
384910,6,62705,0,55,9,13900,0,0,1,1
1154843,6,68105,0,25,9,16000,0,0,0,0
289889,6,62302,0,52,8,237000,0,0,1,1
274849,6,62206,1,56,13,35500,1,0,0,1
692394,6,65413,1,21,11,6000,1,0,0,0
192941,6,62001,0,89,3,14200,0,0,0,1
1086284,6,67802,1,45,9,33000,0,0,0,0
170359,6,63100,1,33,9,1000,0,0,0,1
190367,6,62001,0,39,11,44800,0,0,0,1
459899,6,63302,0,30,11,26100,0,0,0,0
598873,6,66200,0,53,12,9000,0,0,0,1
65255,6,61101,0,27,12,81000,0,0,0,1
1043664,6,67601,0,40,13,116400,0,0,0,1
593609,6,66702,0,55,13,12300,0,0,0,1
201031,6,62500,1,50,9,25000,0,0,0,1
349274,6,62408,0,44,3,152400,0,0,0,1
19051,6,60300,0,83,9,16700,0,0,0,1
145945,6,61506,1,18,7,3200,0,0,0,0
839914,6,65000,1,19,10,2000,0,1,0,0
1133201,6,68101,0,44,15,48000,0,0,0,1
382165,6,62704,1,24,1,25000,0,0,1,0
123270,6,61502,1,40,10,10100,0,0,0,0
433217,6,62802,1,52,13,95400,0,0,0,0
354442,6,62409,0,49,9,700,0,0,0,1
714718,6,65416,1,37,11,27000,1,0,0,1
995507,6,67400,1,70,8,15100,0,0,0,0
520392,6,64300,1,26,14,28020,0,0,0,1
536031,6,64404,1,60,9,36600,0,0,0,1
1147240,6,68104,1,51,16,73000,0,1,0,1
603381,6,66200,0,71,9,22500,0,0,0,1
824669,6,66104,0,54,11,21000,0,0,0,1
1027472,6,67200,0,36,11,50000,0,0,0,1
954954,6,66125,1,30,9,104000,0,0,0,1
217080,6,62101,1,74,2,153800,0,0,1,0
1022353,6,66900,1,35,11,0,0,0,0,1
907593,6,65701,0,78,1,8400,1,0,0,1
129942,6,61504,1,85,14,56000,0,0,0,0
1113043,6,68004,1,58,15,35000,0,0,0,0
1082090,6,67801,1,63,9,13900,0,0,0,1
1034303,6,67606,0,25,14,31000,0,0,0,1
60798,6,61101,0,25,9,8000,1,0,0,0
1181407,6,68109,1,60,9,19800,0,0,0,1
434997,6,62900,0,50,11,87000,0,0,0,1
785542,6,66106,0,57,12,70000,0,0,0,1
946286,6,66124,1,60,4,13000,0,1,0,0
314092,6,62402,0,31,9,56000,0,0,0,1
294357,6,62304,0,33,9,325100,0,0,0,1
714339,6,65416,0,85,9,0,0,0,0,1
43055,6,60700,0,46,11,0,0,0,0,1
825793,6,66104,1,47,9,8000,1,0,0,0
1091940,6,68003,0,44,12,56280,0,0,0,1
63484,6,61101,0,77,14,16000,0,0,0,0
820541,6,66104,1,20,11,0,0,0,1,0
633004,6,65402,0,20,12,15000,0,0,0,0
924817,6,66120,1,18,11,0,0,1,0,0
374385,6,62703,1,69,8,6100,0,0,0,0
184404,6,61901,0,23,5,18000,1,0,0,1
890230,6,66114,1,20,6,0,1,0,0,1
1208683,6,68114,0,64,9,68000,0,0,0,0
746698,6,65422,1,80,1,7200,1,0,0,1
98057,6,61302,1,31,11,59000,0,0,1,1
383967,6,62705,0,20,12,6000,0,1,0,0
374930,6,62703,0,35,10,70850,1,0,0,0
145944,6,61506,1,39,9,16000,0,0,0,0
736871,6,65420,0,34,4,11000,1,0,0,1
238472,6,62105,0,29,12,55000,0,0,0,0
309161,6,62401,1,21,13,0,0,0,1,0
480923,6,63501,1,45,12,0,0,0,0,1
828960,6,64800,1,27,9,4000,1,0,0,0
571063,6,63903,1,74,6,14400,0,0,0,0
